distanza_quadratica_media,identificativo_calciatore,nome_calciatore,posizione_media_x,posizione_media_y,squadra_calciatore,tempo_medio_tra_eventi
886.7259071980963,3309,R. Varane,30.865853658536587,63.0,France,141.306027425
1134.7856144641464,3476,I. Rakitić,58.30373831775701,32.742990654205606,Croatia,53.36447138679245
1372.394378698225,3682,A. Griezmann,57.96923076923077,41.59230769230769,France,86.16673428125
887.5468139648438,69396,D. Vida,39.6953125,37.15625,Croatia,89.45606258730159
774.4664738751109,69409,Š. Vrsaljko,52.113861386138616,80.7871287128713,Croatia,55.551904179999994
1858.7846137152776,69616,A. Rebić,63.416666666666664,57.177083333333336,Croatia,86.5847334893617
1809.8090737240072,135747,D. Subašić,37.82608695652174,66.82608695652173,Croatia,252.12830218181819
985.675968346522,105361,I. Strinić,55.183673469387756,15.673469387755102,Croatia,97.48382833333334
1258.0791437098248,7936,P. Pogba,44.371212121212125,61.81818181818182,France,85.52319438461538
810.7807333717802,8287,L. Modrić,58.431372549019606,70.25980392156863,Croatia,54.99755271287129
974.3619684499316,340646,B. Pavard,37.71296296296296,81.49074074074075,France,104.41274403773585
1760.0544038881178,14812,I. Perišić,67.43661971830986,45.429577464788736,Croatia,80.92977785714285
1134.1304319999997,14943,M. Mandžukić,66.792,58.952,Croatia,89.68399482258064
820.9821483533393,279545,L. Hernández,42.07017543859649,15.368421052631579,France,94.82255098214286
1778.6833900226763,25381,H. Lloris,27.773809523809526,40.44047619047619,France,137.12839697560975
972.2816083611555,25393,D. Lovren,43.98795180722892,65.43373493975903,Croatia,67.56766497560974
838.1704975662524,25397,S. Umtiti,29.453488372093023,33.76744186046512,France,126.80303266666667
746.8420368620034,25437,B. Matuidi,41.55434782608695,20.76086956521739,France,92.45558064444445
1214.9369012911293,353833,K. Mbappé,59.214285714285715,76.8061224489796,France,114.70817572916667
1220.1422729492188,26010,O. Giroud,61.1328125,51.359375,France,73.03128701587302
1020.3573806244261,69968,M. Brozović,46.03030303030303,47.88636363636363,Croatia,43.275539419847334
