playerId;n_pass
3318;0
3323;0
3344;49
3431;27
3543;0
7982;3
14812;50
14943;0
20443;0
20455;0
20458;0
20556;32
20571;15
20751;0
21094;32
25437;0
69968;74
70084;0
89186;0
105334;0
116349;11
134427;0
135903;45
138408;46
206314;8
246061;0
352993;1
361807;0
