playerID;n_events
3318;0
3323;0
3344;78
3431;60
3543;4
7982;4
14812;92
14943;0
20443;0
20455;0
20458;0
20556;64
20571;38
20751;0
21094;60
25437;0
69968;119
70084;0
89186;0
105334;0
116349;16
134427;0
135903;78
138408;76
206314;25
246061;0
352993;2
361807;0
